var,run,key,median_rmsd,mean_rmsd,std_rmsd,ccc,inversion_ratio,wd_N-CA,wd_CA-C,wd_C-N,wd_CA-CB
15.0,3.0,test_trans,1.74,1.76,0.292,0.952,0.0,0.172,0.199,0.201,0.18
15.0,3.0,train_closed,1.067,1.074,0.103,0.906,0.07,0.147,0.177,0.172,0.15
15.0,3.0,train_open,1.142,1.17,0.139,0.876,0.0,0.159,0.178,0.181,0.163
15.0,4.0,test_trans,1.611,1.632,0.285,0.961,0.106,0.12,0.129,0.139,0.132
15.0,4.0,train_closed,0.924,0.933,0.093,0.946,0.621,0.095,0.103,0.109,0.103
15.0,4.0,train_open,1.003,1.017,0.118,0.902,0.246,0.102,0.108,0.114,0.107
15.0,5.0,test_trans,1.59,1.604,0.269,0.973,0.013,0.117,0.132,0.134,0.123
15.0,5.0,train_closed,0.87,0.881,0.086,0.95,0.549,0.092,0.107,0.109,0.1
15.0,5.0,train_open,0.955,0.97,0.108,0.911,0.314,0.094,0.112,0.113,0.1
16.0,1.0,test_trans,1.633,1.654,0.304,0.954,0.171,0.108,0.117,0.119,0.116
16.0,1.0,train_closed,0.896,0.904,0.082,0.948,0.607,0.091,0.097,0.099,0.098
16.0,1.0,train_open,0.991,1.006,0.108,0.901,0.446,0.093,0.102,0.105,0.102
16.0,2.0,test_trans,1.675,1.697,0.324,0.953,0.228,0.126,0.126,0.127,0.13
16.0,2.0,train_closed,0.913,0.923,0.092,0.942,0.768,0.102,0.103,0.103,0.106
16.0,2.0,train_open,0.999,1.015,0.122,0.902,0.436,0.103,0.103,0.109,0.113
16.0,3.0,test_trans,1.759,1.79,0.35,0.952,0.0,0.162,0.172,0.174,0.166
16.0,3.0,train_closed,1.037,1.051,0.104,0.908,0.0,0.136,0.149,0.15,0.139
16.0,3.0,train_open,1.122,1.148,0.15,0.842,0.0,0.146,0.15,0.153,0.139
16.0,4.0,test_trans,1.702,1.717,0.315,0.951,0.014,0.161,0.16,0.173,0.169
